Gene stable ID,KEGG Pathway and Enzyme ID,NCBI gene ID
Os05g0361900,,4338540
Os05g0361900,,4338540
Os05g0405900,,
Os05g0405900,,
Os05g0405900,,
Os05g0406000,,
Os05g0430900,,4338880
Os05g0443500,,4338930
Os05g0454500,,4338976
Os05g0455400,,
Os05g0460600,00740+3.5.4.25+4.1.99.12,4339017
Os05g0460600,00790+3.5.4.25,4339017
Os05g0460600,00740+4.1.99.12,4339017
Os05g0460600,00740+3.5.4.25,4339017
Os05g0460600,,4339017
Os05g0468900,,9267076
Os05g0475300,,4339094
Os05g0477600,,4339106
Os05g0478700,,107276131
Os05g0484800,,4339136
Os05g0487300,,4339146
Os05g0487300,,4339146
Os05g0495900,00500+3.2.1.39,4339201
Os05g0497600,,9272357
Os05g0498400,,4339216
Os05g0498400,,4339216
Os05g0502800,,4339246
Os05g0506000,,4339251
Os05g0508400,,4339266
Os05g0509900,,4339276
Os05g0517600,,
Os05g0518600,00500+2.4.1.15,
Os05g0522500,00051+2.7.1.1,4339361
Os05g0522500,00052+2.7.1.1,4339361
Os05g0522500,00520+2.7.1.1,4339361
Os05g0522500,00500+2.7.1.1,4339361
