dpi	gene		gene2	baseMean	log2FoldChange	stat	pvalue	padj
7dpi	TraesCS6D02G051300	4514	TraesCS6D02G051300	450.2094635	1.495966352	3.060540113	0.002209382	0.032269196
7dpi	TraesCS6D02G053000	4515	TraesCS6D02G053000	165.2004755	1.087616643	3.286013802	0.00101616	0.018854984
7dpi	TraesCS6D02G060200	4521	TraesCS6D02G060200	78.44227232	1.830753043	5.617049111	1.94E-08	3.97E-06
7dpi	TraesCS6D02G072100							
7dpi	TraesCS6D02G229600	4584	TraesCS6D02G229600	57.11031558	1.491879022	3.42701755	0.00061025	0.013123867
7dpi	TraesCS6D02G350000							
7dpi	TraesCS6D02G460600LC							
7dpi	TraesCS6D02G502200LC							
7dpi	TraesCS7A02G005000	4684	TraesCS7A02G005000	162.165067	1.778515981	4.599157997	4.24E-06	0.000332103
7dpi	TraesCS7A02G006500	4685	TraesCS7A02G006500	86.43630534	1.035489962	3.139461096	0.001692589	0.026977884
7dpi	TraesCS7A02G030400							
7dpi	TraesCS7A02G066700LC							
7dpi	TraesCS7A02G094800	4717	TraesCS7A02G094800	22.76056538	3.744348248	4.633859259	3.59E-06	0.000288325
7dpi	TraesCS7A02G108600							
7dpi	TraesCS7A02G109300	4729	TraesCS7A02G109300	322.3544832	1.51328193	2.985673612	0.002829545	0.038247382
7dpi	TraesCS7A02G126700	4734	TraesCS7A02G126700	326.7416935	1.953275579	5.249576411	1.52E-07	2.27E-05
7dpi	TraesCS7A02G206400							
7dpi	TraesCS7A02G415900							
7dpi	TraesCS7A02G422400							
7dpi	TraesCS7A02G429300							
7dpi	TraesCS7A02G523000							
7dpi	TraesCS7A02G568800							
7dpi	TraesCS7A02G587800LC							
7dpi	TraesCS7B02G001600							
7dpi	TraesCS7B02G002300							
7dpi	TraesCS7B02G026100	4950	TraesCS7B02G026100	661.5186906	1.36671464	3.130569588	0.001744677	0.027586574
7dpi	TraesCS7B02G047500	4958	TraesCS7B02G047500	115.3954372	1.478542048	3.614860489	0.000300509	0.00787874
7dpi	TraesCS7B02G190700							
7dpi	TraesCS7B02G387900LC	5145	TraesCS7B02G387900LC	17.80148588	2.17740656	3.853132813	0.000116616	0.003992814
7dpi	TraesCS7B02G416600	5157	TraesCS7B02G416600	33.92141013	2.081166369	4.185108177	2.85E-05	0.001396897
7dpi	TraesCS7B02G475800	5179	TraesCS7B02G475800	108.250764	1.584142994	3.102897082	0.001916363	0.029332545
7dpi	TraesCS7B02G479700							
7dpi	TraesCS7B02G554900LC							
7dpi	TraesCS7D02G032700	5220	TraesCS7D02G032700	299.5440904	1.173022309	2.886765311	0.003892244	0.047550346
7dpi	TraesCS7D02G124600							
7dpi	TraesCS7D02G130800							
7dpi	TraesCS7D02G155400	5270	TraesCS7D02G155400	209.8448225	2.283987968	5.493751976	3.93E-08	7.28E-06
7dpi	TraesCS7D02G218300							
7dpi	TraesCS7D02G226700LC							
7dpi	TraesCS7D02G237700							
7dpi	TraesCS7D02G375100							
7dpi	TraesCS7D02G419300	5429	TraesCS7D02G419300	92.50172197	4.929262911	7.70183677	1.34E-14	1.16E-11
7dpi	TraesCS7D02G548400							
7dpi	TraesCSU02G039800							
7dpi	TraesCSU02G058300LC	5530	TraesCSU02G058300LC	95.83949098	1.337912048	3.016777121	0.002554776	0.035636429
7dpi	TraesCSU02G070700LC							
7dpi	TraesCSU02G115400							
7dpi	TraesCSU02G207500							
